id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
ISSUE-001,P0,discovery,baseline,基线体检,"dotnet build + dotnet test 全量跑一遍，记录现状：失败测试、警告数、可疑代码点，作为后续回归基准","build/test 命令与结果摘要写入 notes；失败项列出",shell,superpowers:verification-before-completion,codebase-memory-mcp,基线数据真实且来自本次运行,无（本行即基准）,done,done,done,done,codex,GestureClip.sln,"dotnet build 成功 0错误/3警告(CS8625 tests/GestureActionOptionConverterTests.cs:15,26,34)；dotnet test 662/662 通过 5s；无 TODO/FIXME；工作区干净(仅新增.mission)；基线=662通过+3警告"
ISSUE-002,P1,feature,theme,主题跟随系统+自定义主题色,"AppThemeService 增加跟随系统亮暗（WM_SETTINGCHANGE/注册表 AppsUseLightTheme），设置页加主题模式三选（浅/深/跟随）与主题色选择，主色写入 Brushes.xaml 动态资源","切换系统主题应用实时跟随；自定义主题色即时生效并持久化到设置",shell,superpowers:verification-before-completion,codebase-memory-mcp,改动仅限主题相关文件；设置持久化正确,dotnet test 全量通过；手动核对浅/深/跟随三态,done,done,done,done,codex,src/GestureClip.App/Services/AppThemeService.cs;Themes/,"三态偏好(Light/Dark/System)+SystemEvents.UserPreferenceChanged 跟随；8色主题色经末尾覆盖字典生效(全 DynamicResource 已验证)；设置页外观改下拉+主题色下拉；dotnet test 681/681(新增19)；视觉三态待用户下次运行确认"
ISSUE-003,P1,feature,theme,Win11 Mica/Acrylic 背景,"SettingsWindow 与 ClipboardOverlayWindow 启用 DwmSetWindowAttribute backdrop（Mica/Acrylic），Win10/不支持时自动降级为现有纯色背景","Win11 下窗口呈现云母/亚克力效果；Build 号不足时无异常且外观不劣化",shell,superpowers:verification-before-completion,codebase-memory-mcp,降级路径有版本判断保护；不影响点击穿透与置顶行为,dotnet test 全量通过；启动主要窗口无异常日志,pending,pending,pending,pending,codex,src/GestureClip.App/,依赖 ISSUE-002 的主题基建
ISSUE-004,P1,feature,clipboard,收藏/常用片段库,"ClipboardItem 增加 IsFavorite（SQLite 迁移），面板右键收藏/取消收藏、收藏置顶排序、Ctrl+7 收藏筛选；支持用户自定义片段（含 {date} {time} 变量展开）","收藏可持久化；Ctrl+7 只显示收藏；自定义片段粘贴时变量已展开；迁移对旧库幂等",shell,superpowers:verification-before-completion,codebase-memory-mcp,DB 迁移幂等且不破坏旧数据；快捷键不与现有 Ctrl+1~6 冲突,dotnet test 全量通过；旧库升级路径验证,pending,pending,pending,pending,codex,src/GestureClip.Infrastructure/Database/;src/GestureClip.Features/Clipboard/,
ISSUE-005,P1,feature,clipboard,粘贴队列,"面板多选记录加入队列（如 Ctrl+Q），之后每次 Ctrl+V/粘贴动作按顺序弹出下一条；托盘或面板显示队列余量并可清空","入队 N 条后连续粘贴依次输出；队列空后恢复正常粘贴；可随时清空",shell,superpowers:verification-before-completion,codebase-memory-mcp,不干扰非队列模式的正常粘贴；混合文字图片行为明确,dotnet test 全量通过；手动队列流程验证,pending,pending,pending,pending,codex,src/GestureClip.Features/Clipboard/;src/GestureClip.App/,
ISSUE-006,P2,polish,clipboard-ui,剪贴板面板视觉升级,"类型彩色标签（文字/图片/链接/收藏）、选中态过渡动画、悬停微动效、空状态插画文案；沿用 ISSUE-002 主题资源","各类型标签颜色区分明显；亮暗主题下均协调；空列表有引导文案",shell,superpowers:verification-before-completion,codebase-memory-mcp,仅改样式层不动业务逻辑；动画不引起可感卡顿,dotnet test 全量通过；面板打开/滚动流畅,pending,pending,pending,pending,codex,src/GestureClip.App/ClipboardOverlayWindow.xaml;Themes/,依赖 ISSUE-002/004
ISSUE-007,P2,polish,gesture-ui,手势轨迹发光与成败反馈,"GestureOverlayWindow 轨迹改为渐变+发光（DropShadow/渐变画刷），识别成功绿色脉冲、失败红色淡出动画","轨迹视觉明显提升；成功/失败反馈颜色正确；不增加输入延迟",shell,superpowers:verification-before-completion,codebase-memory-mcp,仅改渲染层；低配下可关闭发光,dotnet test 全量通过；手势识别行为不变,pending,pending,pending,pending,codex,src/GestureClip.App/GestureOverlayWindow.xaml.cs,
ISSUE-008,P1,perf,clipboard,缩略图懒加载与缓存,"KNOWN_ISSUES #3：列表缩略图改为按需异步解码+内存缓存（容量上限），滚动时取消不可见项解码；避免首开大图历史卡顿","大量图片历史首开不阻塞 UI；滚动流畅；内存占用有上限",shell,superpowers:verification-before-completion,codebase-memory-mcp,异步解码线程安全；缓存淘汰策略明确,dotnet test 全量通过；图片历史手动滚动验证,pending,pending,pending,pending,codex,src/GestureClip.App/Converters/ImageBase64ToSourceConverter.cs;src/GestureClip.Infrastructure/Clipboard/,
ISSUE-009,P0,verify,tests,新功能测试与全量回归,"为收藏/片段变量、粘贴队列、主题服务补单元测试；dotnet test 全量回归；对照 ISSUE-001 基线确认无新增失败/警告","新增测试覆盖核心逻辑并通过；全量测试结果不差于基线",shell,superpowers:verification-before-completion,codebase-memory-mcp,测试断言真实功能而非实现细节,全量 dotnet test 输出与基线对比记录,pending,pending,pending,pending,codex,tests/,
REVIEW-001,P0,review,whole-task,Whole-task review,Review all closed and blocked rows against original requirements,All critical acceptance criteria are either satisfied with evidence or documented as blockers,context+shell,superpowers:verification-before-completion,headroom;codebase-memory-mcp,Check every row has evidence,Run targeted regression checks and summarize residual risk,pending,pending,pending,pending,codex,,Final macro review
